interaction_id,ticket_id,occurred_at,actor,kind,body
INTERACTION-0100080,TICKET-005040,2026-06-16T19:43:00Z,agent,message,First response.
INTERACTION-0100081,TICKET-005041,2026-06-16T11:44:00Z,customer,message,Initial report.
INTERACTION-0100082,TICKET-005041,2026-06-16T14:15:00Z,agent,message,First response.
INTERACTION-0100083,TICKET-005042,2026-06-24T11:21:00Z,customer,message,Initial report.
INTERACTION-0100084,TICKET-005042,2026-06-24T12:35:00Z,agent,message,First response.
INTERACTION-0100085,TICKET-005043,2026-06-17T17:15:00Z,customer,message,Initial report.
INTERACTION-0100086,TICKET-005043,2026-06-17T19:46:00Z,agent,message,First response.
INTERACTION-0100087,TICKET-005044,2026-06-08T15:58:00Z,customer,message,Initial report.
INTERACTION-0100088,TICKET-005044,2026-06-08T18:19:00Z,agent,message,First response.
INTERACTION-0100089,TICKET-005045,2026-06-19T17:00:00Z,customer,message,Initial report.
INTERACTION-0100090,TICKET-005045,2026-06-19T18:34:00Z,agent,message,First response.
INTERACTION-0100091,TICKET-005046,2026-06-13T08:06:00Z,customer,message,Initial report.
INTERACTION-0100092,TICKET-005046,2026-06-13T10:41:00Z,agent,message,First response.
INTERACTION-0100093,TICKET-005047,2026-06-04T07:29:00Z,customer,message,Initial report.
INTERACTION-0100094,TICKET-005047,2026-06-04T09:17:00Z,agent,message,First response.
INTERACTION-0100095,TICKET-005048,2026-06-07T17:56:00Z,customer,message,Initial report.
INTERACTION-0100096,TICKET-005048,2026-06-07T19:54:00Z,agent,message,First response.
INTERACTION-0100097,TICKET-005049,2026-06-02T08:55:00Z,customer,message,Initial report.
INTERACTION-0100098,TICKET-005049,2026-06-02T09:24:00Z,agent,message,First response.
INTERACTION-0100099,TICKET-005050,2026-06-24T08:43:00Z,customer,message,Initial report.
INTERACTION-0100100,TICKET-005050,2026-06-24T11:05:00Z,agent,message,First response.
INTERACTION-0100101,TICKET-005051,2026-06-06T12:04:00Z,customer,message,Initial report.
INTERACTION-0100102,TICKET-005051,2026-06-06T13:40:00Z,agent,message,First response.
INTERACTION-0100103,TICKET-005052,2026-06-26T12:32:00Z,customer,message,Initial report.
INTERACTION-0100104,TICKET-005052,2026-06-26T14:42:00Z,agent,message,First response.
INTERACTION-0100105,TICKET-005053,2026-06-17T17:03:00Z,customer,message,Initial report.
INTERACTION-0100106,TICKET-005053,2026-06-17T17:15:00Z,agent,message,First response.
INTERACTION-0100107,TICKET-005054,2026-06-26T14:16:00Z,customer,message,Initial report.
INTERACTION-0100108,TICKET-005054,2026-06-26T17:10:00Z,agent,message,First response.
INTERACTION-0100109,TICKET-005055,2026-06-15T11:48:00Z,customer,message,Initial report.
INTERACTION-0100110,TICKET-005055,2026-06-15T13:07:00Z,agent,message,First response.
INTERACTION-0100111,TICKET-005056,2026-06-14T10:09:00Z,customer,message,Initial report.
INTERACTION-0100112,TICKET-005056,2026-06-14T11:25:00Z,agent,message,First response.
INTERACTION-0100113,TICKET-005057,2026-06-04T16:32:00Z,customer,message,Initial report.
INTERACTION-0100114,TICKET-005057,2026-06-04T20:04:00Z,agent,message,First response.
INTERACTION-0100115,TICKET-005058,2026-06-18T11:34:00Z,customer,message,Initial report.
INTERACTION-0100116,TICKET-005058,2026-06-18T13:36:00Z,agent,message,First response.
INTERACTION-0100117,TICKET-005059,2026-06-23T08:43:00Z,customer,message,Initial report.
INTERACTION-0100118,TICKET-005059,2026-06-23T11:01:00Z,agent,message,First response.
INTERACTION-0100119,TICKET-005060,2026-06-13T11:37:00Z,customer,message,Initial report.
INTERACTION-0100120,TICKET-005060,2026-06-13T12:39:00Z,agent,message,First response.
INTERACTION-0100121,TICKET-005061,2026-06-14T07:52:00Z,customer,message,Initial report.
INTERACTION-0100122,TICKET-005061,2026-06-14T09:34:00Z,agent,message,First response.
INTERACTION-0100123,TICKET-005062,2026-06-03T08:49:00Z,customer,message,Initial report.
INTERACTION-0100124,TICKET-005062,2026-06-03T11:38:00Z,agent,message,First response.
INTERACTION-0100125,TICKET-005063,2026-06-25T08:13:00Z,customer,message,Initial report.
INTERACTION-0100126,TICKET-005063,2026-06-25T10:55:00Z,agent,message,First response.
INTERACTION-0100127,TICKET-005064,2026-06-26T11:58:00Z,customer,message,Initial report.
INTERACTION-0100128,TICKET-005064,2026-06-26T14:45:00Z,agent,message,First response.
INTERACTION-0100129,TICKET-005065,2026-06-19T12:11:00Z,customer,message,Initial report.
INTERACTION-0100130,TICKET-005065,2026-06-19T13:27:00Z,agent,message,First response.
INTERACTION-0100131,TICKET-005066,2026-06-18T17:38:00Z,customer,message,Initial report.
INTERACTION-0100132,TICKET-005066,2026-06-18T18:44:00Z,agent,message,First response.
INTERACTION-0100133,TICKET-005067,2026-06-07T09:34:00Z,customer,message,Initial report.
INTERACTION-0100134,TICKET-005067,2026-06-07T11:13:00Z,agent,message,First response.
INTERACTION-0100135,TICKET-005068,2026-06-04T15:56:00Z,customer,message,Initial report.
INTERACTION-0100136,TICKET-005068,2026-06-04T18:52:00Z,agent,message,First response.
INTERACTION-0100137,TICKET-005069,2026-06-07T18:19:00Z,customer,message,Initial report.
INTERACTION-0100138,TICKET-005069,2026-06-07T20:14:00Z,agent,message,First response.
INTERACTION-0100139,TICKET-005070,2026-06-15T08:13:00Z,customer,message,Initial report.
INTERACTION-0100140,TICKET-005070,2026-06-15T08:25:00Z,agent,message,First response.
INTERACTION-0100141,TICKET-005071,2026-06-06T10:41:00Z,customer,message,Initial report.
INTERACTION-0100142,TICKET-005071,2026-06-06T12:33:00Z,agent,message,First response.
INTERACTION-0100143,TICKET-005072,2026-06-10T12:41:00Z,customer,message,Initial report.
INTERACTION-0100144,TICKET-005072,2026-06-10T16:09:00Z,agent,message,First response.
INTERACTION-0100145,TICKET-005073,2026-06-18T13:06:00Z,customer,message,Initial report.
INTERACTION-0100146,TICKET-005073,2026-06-18T14:30:00Z,agent,message,First response.
INTERACTION-0100147,TICKET-005074,2026-06-20T15:40:00Z,customer,message,Initial report.
INTERACTION-0100148,TICKET-005074,2026-06-20T16:36:00Z,agent,message,First response.
INTERACTION-0100149,TICKET-005075,2026-06-13T12:36:00Z,customer,message,Initial report.
INTERACTION-0100150,TICKET-005075,2026-06-13T14:19:00Z,agent,message,First response.
INTERACTION-0100151,TICKET-005076,2026-06-22T11:56:00Z,customer,message,Initial report.
INTERACTION-0100152,TICKET-005076,2026-06-22T13:11:00Z,agent,message,First response.
INTERACTION-0100153,TICKET-005077,2026-06-15T12:24:00Z,customer,message,Initial report.
INTERACTION-0100154,TICKET-005077,2026-06-15T13:42:00Z,agent,message,First response.
INTERACTION-0100155,TICKET-005078,2026-06-18T16:39:00Z,customer,message,Initial report.
INTERACTION-0100156,TICKET-005078,2026-06-18T19:33:00Z,agent,message,First response.
INTERACTION-0100157,TICKET-005079,2026-06-09T16:36:00Z,customer,message,Initial report.
INTERACTION-0100158,TICKET-005079,2026-06-09T17:04:00Z,agent,message,First response.
INTERACTION-0100159,TICKET-005080,2026-06-23T13:06:00Z,customer,message,Initial report.
INTERACTION-0100160,TICKET-005080,2026-06-23T14:18:00Z,agent,message,First response.
INTERACTION-0100161,TICKET-005081,2026-06-02T12:30:00Z,customer,message,Initial report.
INTERACTION-0100162,TICKET-005081,2026-06-02T15:35:00Z,agent,message,First response.
INTERACTION-0100163,TICKET-005082,2026-06-06T16:38:00Z,customer,message,Initial report.
INTERACTION-0100164,TICKET-005082,2026-06-06T18:12:00Z,agent,message,First response.
INTERACTION-0100165,TICKET-005083,2026-06-15T16:02:00Z,customer,message,Initial report.
INTERACTION-0100166,TICKET-005083,2026-06-15T17:58:00Z,agent,message,First response.
INTERACTION-0100167,TICKET-005084,2026-06-12T09:12:00Z,customer,message,Initial report.
INTERACTION-0100168,TICKET-005084,2026-06-12T11:29:00Z,agent,message,First response.
INTERACTION-0100169,TICKET-005085,2026-06-12T15:36:00Z,customer,message,Initial report.
INTERACTION-0100170,TICKET-005085,2026-06-12T17:37:00Z,agent,message,First response.
INTERACTION-0100171,TICKET-005086,2026-06-06T10:45:00Z,customer,message,Initial report.
INTERACTION-0100172,TICKET-005086,2026-06-06T13:46:00Z,agent,message,First response.
INTERACTION-0100173,TICKET-005087,2026-06-06T13:19:00Z,customer,message,Initial report.
INTERACTION-0100174,TICKET-005087,2026-06-06T15:42:00Z,agent,message,First response.
INTERACTION-0100175,TICKET-005088,2026-06-22T15:13:00Z,customer,message,Initial report.
INTERACTION-0100176,TICKET-005088,2026-06-22T17:19:00Z,agent,message,First response.
INTERACTION-0100177,TICKET-005089,2026-06-25T13:25:00Z,customer,message,Initial report.
INTERACTION-0100178,TICKET-005089,2026-06-25T14:41:00Z,agent,message,First response.
INTERACTION-0100179,TICKET-005090,2026-06-08T18:03:00Z,customer,message,Initial report.
INTERACTION-0100180,TICKET-005090,2026-06-08T18:15:00Z,agent,message,First response.
INTERACTION-0100181,TICKET-005091,2026-06-22T15:55:00Z,customer,message,Initial report.
INTERACTION-0100182,TICKET-005091,2026-06-22T17:14:00Z,agent,message,First response.
INTERACTION-0100183,TICKET-005092,2026-06-03T17:30:00Z,customer,message,Initial report.
INTERACTION-0100184,TICKET-005092,2026-06-03T17:42:00Z,agent,message,First response.
INTERACTION-0100185,TICKET-005093,2026-06-19T18:13:00Z,customer,message,Initial report.
INTERACTION-0100186,TICKET-005093,2026-06-19T22:07:00Z,agent,message,First response.
INTERACTION-0100187,TICKET-005094,2026-06-09T12:23:00Z,customer,message,Initial report.
INTERACTION-0100188,TICKET-005094,2026-06-09T12:59:00Z,agent,message,First response.
INTERACTION-0100189,TICKET-005095,2026-06-11T08:32:00Z,customer,message,Initial report.
INTERACTION-0100190,TICKET-005095,2026-06-11T09:53:00Z,agent,message,First response.
INTERACTION-0100191,TICKET-005096,2026-06-17T18:52:00Z,customer,message,Initial report.
INTERACTION-0100192,TICKET-005096,2026-06-17T20:34:00Z,agent,message,First response.
INTERACTION-0100193,TICKET-005097,2026-06-13T15:42:00Z,customer,message,Initial report.
INTERACTION-0100194,TICKET-005097,2026-06-13T17:41:00Z,agent,message,First response.
INTERACTION-0100195,TICKET-005098,2026-06-20T13:32:00Z,customer,message,Initial report.
INTERACTION-0100196,TICKET-005098,2026-06-20T16:50:00Z,agent,message,First response.
INTERACTION-0100197,TICKET-005099,2026-06-09T13:53:00Z,customer,message,Initial report.
INTERACTION-0100198,TICKET-005099,2026-06-09T15:31:00Z,agent,message,First response.
INTERACTION-0100199,TICKET-005100,2026-06-14T10:45:00Z,customer,message,Initial report.
INTERACTION-0100200,TICKET-005100,2026-06-14T12:58:00Z,agent,message,First response.
INTERACTION-0100201,TICKET-005101,2026-06-17T15:40:00Z,customer,message,Initial report.
INTERACTION-0100202,TICKET-005101,2026-06-17T18:34:00Z,agent,message,First response.
INTERACTION-0100203,TICKET-005102,2026-06-22T07:08:00Z,customer,message,Initial report.
INTERACTION-0100204,TICKET-005102,2026-06-22T08:11:00Z,agent,message,First response.
INTERACTION-0100205,TICKET-005103,2026-06-27T10:38:00Z,customer,message,Initial report.
INTERACTION-0100206,TICKET-005103,2026-06-27T13:30:00Z,agent,message,First response.
INTERACTION-0100207,TICKET-005104,2026-06-06T17:29:00Z,customer,message,Initial report.
INTERACTION-0100208,TICKET-005104,2026-06-06T17:58:00Z,agent,message,First response.
INTERACTION-0100209,TICKET-005105,2026-06-04T10:16:00Z,customer,message,Initial report.
INTERACTION-0100210,TICKET-005105,2026-06-04T12:03:00Z,agent,message,First response.
INTERACTION-0100211,TICKET-005106,2026-06-01T07:21:00Z,customer,message,Initial report.
INTERACTION-0100212,TICKET-005106,2026-06-01T09:16:00Z,agent,message,First response.
INTERACTION-0100213,TICKET-005107,2026-06-19T09:23:00Z,customer,message,Initial report.
INTERACTION-0100214,TICKET-005107,2026-06-19T11:12:00Z,agent,message,First response.
INTERACTION-0100215,TICKET-005108,2026-06-14T15:55:00Z,customer,message,Initial report.
INTERACTION-0100216,TICKET-005108,2026-06-14T17:03:00Z,agent,message,First response.
INTERACTION-0100217,TICKET-005109,2026-06-03T15:45:00Z,customer,message,Initial report.
INTERACTION-0100218,TICKET-005109,2026-06-03T17:44:00Z,agent,message,First response.
INTERACTION-0100219,TICKET-005110,2026-06-12T07:06:00Z,customer,message,Initial report.
INTERACTION-0100220,TICKET-005110,2026-06-12T09:37:00Z,agent,message,First response.
INTERACTION-0100221,TICKET-005111,2026-06-21T16:01:00Z,customer,message,Initial report.
INTERACTION-0100222,TICKET-005111,2026-06-21T17:45:00Z,agent,message,First response.
INTERACTION-0100223,TICKET-005112,2026-06-24T08:04:00Z,customer,message,Initial report.
INTERACTION-0100224,TICKET-005112,2026-06-24T08:16:00Z,agent,message,First response.
INTERACTION-0100225,TICKET-005113,2026-06-23T16:18:00Z,customer,message,Initial report.
INTERACTION-0100226,TICKET-005113,2026-06-23T16:55:00Z,agent,message,First response.
INTERACTION-0100227,TICKET-005114,2026-06-16T10:21:00Z,customer,message,Initial report.
INTERACTION-0100228,TICKET-005114,2026-06-16T11:55:00Z,agent,message,First response.
INTERACTION-0100229,TICKET-005115,2026-06-07T18:46:00Z,customer,message,Initial report.
INTERACTION-0100230,TICKET-005115,2026-06-07T19:17:00Z,agent,message,First response.
INTERACTION-0100231,TICKET-005116,2026-06-02T08:53:00Z,customer,message,Initial report.
INTERACTION-0100232,TICKET-005116,2026-06-02T11:19:00Z,agent,message,First response.
INTERACTION-0100233,TICKET-005117,2026-06-01T15:36:00Z,customer,message,Initial report.
INTERACTION-0100234,TICKET-005117,2026-06-01T17:56:00Z,agent,message,First response.
INTERACTION-0100235,TICKET-005118,2026-06-05T07:17:00Z,customer,message,Initial report.
INTERACTION-0100236,TICKET-005118,2026-06-05T08:23:00Z,agent,message,First response.
INTERACTION-0100237,TICKET-005119,2026-06-02T16:33:00Z,customer,message,Initial report.
INTERACTION-0100238,TICKET-005119,2026-06-02T16:45:00Z,agent,message,First response.
INTERACTION-0100239,TICKET-005120,2026-06-15T09:41:00Z,customer,message,Initial report.
INTERACTION-0100240,TICKET-005120,2026-06-15T11:19:00Z,agent,message,First response.
INTERACTION-0100241,TICKET-005121,2026-06-25T18:02:00Z,customer,message,Initial report.
INTERACTION-0100242,TICKET-005121,2026-06-25T19:54:00Z,agent,message,First response.
INTERACTION-0100243,TICKET-005122,2026-06-25T11:12:00Z,customer,message,Initial report.
INTERACTION-0100244,TICKET-005122,2026-06-25T13:14:00Z,agent,message,First response.
INTERACTION-0100245,TICKET-005123,2026-06-20T08:50:00Z,customer,message,Initial report.
INTERACTION-0100246,TICKET-005123,2026-06-20T09:02:00Z,agent,message,First response.
INTERACTION-0100247,TICKET-005124,2026-06-04T16:50:00Z,customer,message,Initial report.
INTERACTION-0100248,TICKET-005124,2026-06-04T18:56:00Z,agent,message,First response.
INTERACTION-0100249,TICKET-005125,2026-06-26T18:18:00Z,customer,message,Initial report.
INTERACTION-0100250,TICKET-005125,2026-06-26T20:57:00Z,agent,message,First response.
INTERACTION-0100251,TICKET-005126,2026-06-02T10:07:00Z,customer,message,Initial report.
INTERACTION-0100252,TICKET-005126,2026-06-02T13:42:00Z,agent,message,First response.
INTERACTION-0100253,TICKET-005127,2026-06-16T09:50:00Z,customer,message,Initial report.
INTERACTION-0100254,TICKET-005127,2026-06-16T12:42:00Z,agent,message,First response.
INTERACTION-0100255,TICKET-005128,2026-06-06T09:08:00Z,customer,message,Initial report.
INTERACTION-0100256,TICKET-005128,2026-06-06T10:38:00Z,agent,message,First response.
INTERACTION-0100257,TICKET-005129,2026-06-14T12:45:00Z,customer,message,Initial report.
INTERACTION-0100258,TICKET-005129,2026-06-14T15:25:00Z,agent,message,First response.
INTERACTION-0100259,TICKET-005130,2026-06-27T11:12:00Z,customer,message,Initial report.
INTERACTION-0100260,TICKET-005130,2026-06-27T11:24:00Z,agent,message,First response.
INTERACTION-0100261,TICKET-005131,2026-06-06T12:33:00Z,customer,message,Initial report.
INTERACTION-0100262,TICKET-005131,2026-06-06T13:47:00Z,agent,message,First response.
INTERACTION-0100263,TICKET-005132,2026-06-09T18:36:00Z,customer,message,Initial report.
INTERACTION-0100264,TICKET-005132,2026-06-09T20:59:00Z,agent,message,First response.
INTERACTION-0100265,TICKET-005133,2026-06-15T07:59:00Z,customer,message,Initial report.
INTERACTION-0100266,TICKET-005133,2026-06-15T09:38:00Z,agent,message,First response.
INTERACTION-0100267,TICKET-005134,2026-06-14T14:20:00Z,customer,message,Initial report.
INTERACTION-0100268,TICKET-005134,2026-06-14T16:48:00Z,agent,message,First response.
INTERACTION-0100269,TICKET-005135,2026-06-03T10:14:00Z,customer,message,Initial report.
INTERACTION-0100270,TICKET-005135,2026-06-03T11:33:00Z,agent,message,First response.
INTERACTION-0100271,TICKET-005136,2026-06-10T07:37:00Z,customer,message,Initial report.
INTERACTION-0100272,TICKET-005136,2026-06-10T09:41:00Z,agent,message,First response.
INTERACTION-0100273,TICKET-005137,2026-06-27T16:19:00Z,customer,message,Initial report.
INTERACTION-0100274,TICKET-005137,2026-06-27T18:30:00Z,agent,message,First response.
INTERACTION-0100275,TICKET-005138,2026-06-21T11:20:00Z,customer,message,Initial report.
INTERACTION-0100276,TICKET-005138,2026-06-21T15:09:00Z,agent,message,First response.
INTERACTION-0100277,TICKET-005139,2026-06-13T08:07:00Z,customer,message,Initial report.
INTERACTION-0100278,TICKET-005139,2026-06-13T10:19:00Z,agent,message,First response.
INTERACTION-0100279,TICKET-005140,2026-06-21T10:06:00Z,customer,message,Initial report.
INTERACTION-0100280,TICKET-005140,2026-06-21T11:36:00Z,agent,message,First response.
INTERACTION-0100281,TICKET-005141,2026-06-17T18:30:00Z,customer,message,Initial report.
INTERACTION-0100282,TICKET-005141,2026-06-17T21:03:00Z,agent,message,First response.
INTERACTION-0100283,TICKET-005142,2026-06-21T15:03:00Z,customer,message,Initial report.
INTERACTION-0100284,TICKET-005142,2026-06-21T16:33:00Z,agent,message,First response.
INTERACTION-0100285,TICKET-005143,2026-06-09T12:37:00Z,customer,message,Initial report.
INTERACTION-0100286,TICKET-005143,2026-06-09T14:31:00Z,agent,message,First response.
INTERACTION-0100287,TICKET-005144,2026-06-16T09:16:00Z,customer,message,Initial report.
INTERACTION-0100288,TICKET-005144,2026-06-16T09:52:00Z,agent,message,First response.
INTERACTION-0100289,TICKET-005145,2026-06-13T17:02:00Z,customer,message,Initial report.
INTERACTION-0100290,TICKET-005145,2026-06-13T19:09:00Z,agent,message,First response.
INTERACTION-0100291,TICKET-005146,2026-06-17T13:31:00Z,customer,message,Initial report.
INTERACTION-0100292,TICKET-005146,2026-06-17T15:50:00Z,agent,message,First response.
INTERACTION-0100293,TICKET-005147,2026-06-10T14:07:00Z,customer,message,Initial report.
INTERACTION-0100294,TICKET-005147,2026-06-10T15:02:00Z,agent,message,First response.
INTERACTION-0100295,TICKET-005148,2026-06-16T11:32:00Z,customer,message,Initial report.
