suggestion_id,ticket_id,created_at,article_ids,confidence,route,route_reason,sent
SUGGESTION-000452,TICKET-005477,2026-07-09T09:45:00Z,ARTICLE-0142,0.72,human_review,area is consequential,0
SUGGESTION-000453,TICKET-005478,2026-07-24T12:35:00Z,ARTICLE-0142,0.74,auto_send,confidence above threshold,1
SUGGESTION-000454,TICKET-005479,2026-07-12T12:41:00Z,ARTICLE-0142,0.91,auto_send,confidence above threshold,1
SUGGESTION-000455,TICKET-005482,2026-07-20T11:21:00Z,ARTICLE-0142,0.76,human_review,area is consequential,0
SUGGESTION-000456,TICKET-005485,2026-07-16T12:14:00Z,ARTICLE-0142,0.76,human_review,area is consequential,0
SUGGESTION-000457,TICKET-005486,2026-07-17T13:40:00Z,ARTICLE-0142,0.69,auto_send,confidence above threshold,1
SUGGESTION-000458,TICKET-005488,2026-07-07T14:02:00Z,ARTICLE-0142,0.58,auto_send,confidence above threshold,1
SUGGESTION-000459,TICKET-005489,2026-07-25T13:33:00Z,ARTICLE-0142,0.84,auto_send,confidence above threshold,1
SUGGESTION-000460,TICKET-005490,2026-07-16T14:32:00Z,ARTICLE-0142,0.97,auto_send,confidence above threshold,1
SUGGESTION-000461,TICKET-005492,2026-07-24T15:57:00Z,ARTICLE-0142,0.95,auto_send,confidence above threshold,1
SUGGESTION-000462,TICKET-005493,2026-07-15T12:18:00Z,ARTICLE-0142,0.89,auto_send,confidence above threshold,1
SUGGESTION-000463,TICKET-005494,2026-07-06T09:24:00Z,ARTICLE-0142,0.68,auto_send,confidence above threshold,1
SUGGESTION-000464,TICKET-005495,2026-07-03T08:46:00Z,ARTICLE-0142,0.58,human_review,area is consequential,0
SUGGESTION-000465,TICKET-005496,2026-07-02T13:40:00Z,ARTICLE-0142,0.65,human_review,area is consequential,0
SUGGESTION-000466,TICKET-005500,2026-07-20T07:08:00Z,ARTICLE-0142,0.61,auto_send,confidence above threshold,1
SUGGESTION-000467,TICKET-005502,2026-07-22T09:37:00Z,ARTICLE-0142,0.81,human_review,area is consequential,0
SUGGESTION-000468,TICKET-005504,2026-07-25T08:26:00Z,ARTICLE-0142,0.64,auto_send,confidence above threshold,1
SUGGESTION-000469,TICKET-005506,2026-07-17T07:25:00Z,ARTICLE-0142,0.6,human_review,area is consequential,0
SUGGESTION-000470,TICKET-005507,2026-07-26T15:42:00Z,ARTICLE-0142,0.56,auto_send,confidence above threshold,1
SUGGESTION-000471,TICKET-005514,2026-07-08T16:47:00Z,ARTICLE-0142,0.85,human_review,area is consequential,0
SUGGESTION-000472,TICKET-005518,2026-07-23T18:07:00Z,ARTICLE-0142,0.72,auto_send,confidence above threshold,1
SUGGESTION-000473,TICKET-005519,2026-07-27T07:41:00Z,ARTICLE-0142,0.86,auto_send,confidence above threshold,1
SUGGESTION-000474,TICKET-005520,2026-07-17T11:31:00Z,ARTICLE-0142,0.64,auto_send,confidence above threshold,1
SUGGESTION-000475,TICKET-005521,2026-07-13T18:23:00Z,ARTICLE-0142,0.61,human_review,area is consequential,0
SUGGESTION-000476,TICKET-005522,2026-07-15T16:50:00Z,ARTICLE-0142,0.78,auto_send,confidence above threshold,1
SUGGESTION-000477,TICKET-005523,2026-07-14T08:09:00Z,ARTICLE-0142,0.75,auto_send,confidence above threshold,1
SUGGESTION-000478,TICKET-005524,2026-07-17T07:03:00Z,ARTICLE-0142,0.89,auto_send,confidence above threshold,1
SUGGESTION-000479,TICKET-005525,2026-07-01T10:36:00Z,ARTICLE-0142,0.79,auto_send,confidence above threshold,1
SUGGESTION-000480,TICKET-005528,2026-07-06T08:30:00Z,ARTICLE-0142,0.61,auto_send,confidence above threshold,1
SUGGESTION-000481,TICKET-005530,2026-07-21T16:17:00Z,ARTICLE-0142,0.85,auto_send,confidence above threshold,1
SUGGESTION-000482,TICKET-005531,2026-07-27T08:23:00Z,ARTICLE-0142,0.95,human_review,area is consequential,0
SUGGESTION-000483,TICKET-005532,2026-07-23T15:46:00Z,ARTICLE-0142,0.74,human_review,area is consequential,0
SUGGESTION-000484,TICKET-005533,2026-07-17T08:25:00Z,ARTICLE-0142,0.8,auto_send,confidence above threshold,1
SUGGESTION-000485,TICKET-005534,2026-07-15T11:15:00Z,ARTICLE-0142,0.91,human_review,area is consequential,0
SUGGESTION-000486,TICKET-005535,2026-07-02T10:51:00Z,ARTICLE-0142,0.9,auto_send,confidence above threshold,1
SUGGESTION-000487,TICKET-005536,2026-07-23T07:40:00Z,ARTICLE-0142,0.68,human_review,area is consequential,0
SUGGESTION-000488,TICKET-005538,2026-07-24T18:01:00Z,ARTICLE-0142,0.76,human_review,area is consequential,0
SUGGESTION-000489,TICKET-005539,2026-07-01T13:40:00Z,ARTICLE-0142,0.69,human_review,area is consequential,0
SUGGESTION-000490,TICKET-005542,2026-07-24T15:50:00Z,ARTICLE-0142,0.89,auto_send,confidence above threshold,1
SUGGESTION-000491,TICKET-005543,2026-07-10T13:07:00Z,ARTICLE-0142,0.86,human_review,area is consequential,0
SUGGESTION-000492,TICKET-005544,2026-07-05T15:16:00Z,ARTICLE-0142,0.61,auto_send,confidence above threshold,1
SUGGESTION-000493,TICKET-005546,2026-07-18T07:59:00Z,ARTICLE-0142,0.76,auto_send,confidence above threshold,1
SUGGESTION-000494,TICKET-005547,2026-07-20T09:17:00Z,ARTICLE-0142,0.7,human_review,area is consequential,0
SUGGESTION-000495,TICKET-005548,2026-07-26T13:44:00Z,ARTICLE-0142,0.56,auto_send,confidence above threshold,1
SUGGESTION-000496,TICKET-005549,2026-07-06T18:02:00Z,ARTICLE-0142,0.72,auto_send,confidence above threshold,1
SUGGESTION-000497,TICKET-005550,2026-07-27T18:27:00Z,ARTICLE-0142,0.55,auto_send,confidence above threshold,1
SUGGESTION-000498,TICKET-005551,2026-07-10T18:43:00Z,ARTICLE-0142,0.63,human_review,area is consequential,0
SUGGESTION-000499,TICKET-005552,2026-07-04T12:24:00Z,ARTICLE-0142,0.61,human_review,area is consequential,0
SUGGESTION-000500,TICKET-005554,2026-07-20T18:11:00Z,ARTICLE-0142,0.85,auto_send,confidence above threshold,1
SUGGESTION-000501,TICKET-005556,2026-07-13T07:07:00Z,ARTICLE-0142,0.75,auto_send,confidence above threshold,1
SUGGESTION-000502,TICKET-005557,2026-07-14T07:25:00Z,ARTICLE-0142,0.93,human_review,area is consequential,0
SUGGESTION-000503,TICKET-005558,2026-07-11T16:57:00Z,ARTICLE-0142,0.8,auto_send,confidence above threshold,1
SUGGESTION-000504,TICKET-005560,2026-07-25T13:15:00Z,ARTICLE-0142,0.88,human_review,area is consequential,0
SUGGESTION-000505,TICKET-005563,2026-07-18T10:18:00Z,ARTICLE-0142,0.92,auto_send,confidence above threshold,1
SUGGESTION-000506,TICKET-005564,2026-07-25T13:00:00Z,ARTICLE-0142,0.84,human_review,area is consequential,0
SUGGESTION-000507,TICKET-005565,2026-07-18T17:45:00Z,ARTICLE-0142,0.59,auto_send,confidence above threshold,1
SUGGESTION-000508,TICKET-005567,2026-07-05T08:02:00Z,ARTICLE-0142,0.9,auto_send,confidence above threshold,1
SUGGESTION-000509,TICKET-005568,2026-07-11T08:19:00Z,ARTICLE-0142,0.62,human_review,area is consequential,0
SUGGESTION-000510,TICKET-005569,2026-07-06T15:35:00Z,ARTICLE-0142,0.93,auto_send,confidence above threshold,1
SUGGESTION-000511,TICKET-005571,2026-07-02T13:48:00Z,ARTICLE-0142,0.57,auto_send,confidence above threshold,1
SUGGESTION-000512,TICKET-005572,2026-07-08T12:01:00Z,ARTICLE-0142,0.66,auto_send,confidence above threshold,1
SUGGESTION-000513,TICKET-005573,2026-07-16T16:53:00Z,ARTICLE-0142,0.86,human_review,area is consequential,0
SUGGESTION-000514,TICKET-005574,2026-07-13T07:20:00Z,ARTICLE-0142,0.78,human_review,area is consequential,0
SUGGESTION-000515,TICKET-005575,2026-07-14T07:55:00Z,ARTICLE-0142,0.83,auto_send,confidence above threshold,1
SUGGESTION-000516,TICKET-005576,2026-07-01T10:34:00Z,ARTICLE-0142,0.89,auto_send,confidence above threshold,1
SUGGESTION-000517,TICKET-005577,2026-07-02T16:33:00Z,ARTICLE-0142,0.82,human_review,area is consequential,0
SUGGESTION-000518,TICKET-005578,2026-07-19T13:49:00Z,ARTICLE-0142,0.84,auto_send,confidence above threshold,1
SUGGESTION-000519,TICKET-005581,2026-07-09T16:22:00Z,ARTICLE-0142,0.94,auto_send,confidence above threshold,1
SUGGESTION-000520,TICKET-005582,2026-07-08T07:18:00Z,ARTICLE-0142,0.7,auto_send,confidence above threshold,1
SUGGESTION-000521,TICKET-005583,2026-07-10T10:02:00Z,ARTICLE-0142,0.74,auto_send,confidence above threshold,1
SUGGESTION-000522,TICKET-005585,2026-07-27T15:20:00Z,ARTICLE-0142,0.58,human_review,area is consequential,0
SUGGESTION-000523,TICKET-005586,2026-07-16T12:04:00Z,ARTICLE-0142,0.61,human_review,area is consequential,0
SUGGESTION-000524,TICKET-005587,2026-07-09T15:03:00Z,ARTICLE-0142,0.94,auto_send,confidence above threshold,1
SUGGESTION-000525,TICKET-005589,2026-07-20T14:31:00Z,ARTICLE-0142,0.97,auto_send,confidence above threshold,1
SUGGESTION-000526,TICKET-005591,2026-07-01T13:47:00Z,ARTICLE-0142,0.79,human_review,area is consequential,0
SUGGESTION-000527,TICKET-005592,2026-07-23T10:51:00Z,ARTICLE-0142,0.58,auto_send,confidence above threshold,1
SUGGESTION-000528,TICKET-005596,2026-07-21T10:03:00Z,ARTICLE-0142,0.57,auto_send,confidence above threshold,1
SUGGESTION-000529,TICKET-005597,2026-07-18T12:38:00Z,ARTICLE-0142,0.57,auto_send,confidence above threshold,1
SUGGESTION-000530,TICKET-005598,2026-07-03T14:09:00Z,ARTICLE-0142,0.56,human_review,area is consequential,0
SUGGESTION-000531,TICKET-005599,2026-07-09T18:36:00Z,ARTICLE-0142,0.91,human_review,area is consequential,0
SUGGESTION-000532,TICKET-005604,2026-07-01T14:54:00Z,ARTICLE-0142,0.72,auto_send,confidence above threshold,1
SUGGESTION-000533,TICKET-005605,2026-07-03T07:21:00Z,ARTICLE-0142,0.61,auto_send,confidence above threshold,1
SUGGESTION-000534,TICKET-005606,2026-07-16T08:33:00Z,ARTICLE-0142,0.97,auto_send,confidence above threshold,1
SUGGESTION-000535,TICKET-005609,2026-07-15T09:58:00Z,ARTICLE-0142,0.61,auto_send,confidence above threshold,1
SUGGESTION-000536,TICKET-005612,2026-07-24T12:23:00Z,ARTICLE-0142,0.84,auto_send,confidence above threshold,1
SUGGESTION-000537,TICKET-005613,2026-07-04T09:13:00Z,ARTICLE-0142,0.94,auto_send,confidence above threshold,1
SUGGESTION-000538,TICKET-005614,2026-07-14T13:31:00Z,ARTICLE-0142,0.92,auto_send,confidence above threshold,1
SUGGESTION-000539,TICKET-005615,2026-07-01T13:25:00Z,ARTICLE-0142,0.97,auto_send,confidence above threshold,1
SUGGESTION-000540,TICKET-005617,2026-07-09T16:55:00Z,ARTICLE-0142,0.55,auto_send,confidence above threshold,1
SUGGESTION-000541,TICKET-005618,2026-07-24T14:24:00Z,ARTICLE-0142,0.72,auto_send,confidence above threshold,1
SUGGESTION-000542,TICKET-005620,2026-07-08T13:58:00Z,ARTICLE-0142,0.71,auto_send,confidence above threshold,1
SUGGESTION-000543,TICKET-005621,2026-07-22T11:53:00Z,ARTICLE-0142,0.83,auto_send,confidence above threshold,1
SUGGESTION-000544,TICKET-005623,2026-07-05T17:08:00Z,ARTICLE-0142,0.61,auto_send,confidence above threshold,1
SUGGESTION-000545,TICKET-005624,2026-07-12T09:30:00Z,ARTICLE-0142,0.58,human_review,area is consequential,0
SUGGESTION-000546,TICKET-005626,2026-07-17T13:32:00Z,ARTICLE-0142,0.9,human_review,area is consequential,0
SUGGESTION-000547,TICKET-005628,2026-07-17T14:27:00Z,ARTICLE-0142,0.65,human_review,area is consequential,0
SUGGESTION-000548,TICKET-005630,2026-07-04T17:40:00Z,ARTICLE-0142,0.86,auto_send,confidence above threshold,1
SUGGESTION-000549,TICKET-005631,2026-07-19T08:06:00Z,ARTICLE-0142,0.8,auto_send,confidence above threshold,1
SUGGESTION-000550,TICKET-005632,2026-07-19T07:35:00Z,ARTICLE-0142,0.67,human_review,area is consequential,0
SUGGESTION-000551,TICKET-005633,2026-07-06T07:45:00Z,ARTICLE-0142,0.65,auto_send,confidence above threshold,1
SUGGESTION-000552,TICKET-005634,2026-07-16T15:14:00Z,ARTICLE-0142,0.8,auto_send,confidence above threshold,1
SUGGESTION-000553,TICKET-005635,2026-07-14T15:51:00Z,ARTICLE-0142,0.9,human_review,area is consequential,0
SUGGESTION-000554,TICKET-005636,2026-07-16T09:58:00Z,ARTICLE-0142,0.81,human_review,area is consequential,0
SUGGESTION-000555,TICKET-005638,2026-07-17T16:41:00Z,ARTICLE-0142,0.56,auto_send,confidence above threshold,1
SUGGESTION-000556,TICKET-005639,2026-07-14T17:51:00Z,ARTICLE-0142,0.63,auto_send,confidence above threshold,1
SUGGESTION-000557,TICKET-005647,2026-07-02T10:45:00Z,ARTICLE-0142,0.84,human_review,area is consequential,0
SUGGESTION-000558,TICKET-005648,2026-07-17T14:50:00Z,ARTICLE-0142,0.82,human_review,area is consequential,0
SUGGESTION-000559,TICKET-005650,2026-07-26T07:42:00Z,ARTICLE-0142,0.8,human_review,area is consequential,0
SUGGESTION-000560,TICKET-005651,2026-07-27T15:45:00Z,ARTICLE-0142,0.92,human_review,area is consequential,0
SUGGESTION-000561,TICKET-005653,2026-07-03T17:34:00Z,ARTICLE-0142,0.77,auto_send,confidence above threshold,1
SUGGESTION-000562,TICKET-005654,2026-07-13T14:02:00Z,ARTICLE-0142,0.86,human_review,area is consequential,0
SUGGESTION-000563,TICKET-005655,2026-07-19T11:04:00Z,ARTICLE-0142,0.67,auto_send,confidence above threshold,1
SUGGESTION-000564,TICKET-005656,2026-07-16T11:28:00Z,ARTICLE-0142,0.9,auto_send,confidence above threshold,1
SUGGESTION-000565,TICKET-005657,2026-07-15T10:06:00Z,ARTICLE-0142,0.68,human_review,area is consequential,0
SUGGESTION-000566,TICKET-005658,2026-07-12T07:52:00Z,ARTICLE-0142,0.67,human_review,area is consequential,0
SUGGESTION-000567,TICKET-005660,2026-07-15T11:25:00Z,ARTICLE-0142,0.82,human_review,area is consequential,0
SUGGESTION-000568,TICKET-005661,2026-07-02T10:10:00Z,ARTICLE-0142,0.64,auto_send,confidence above threshold,1
SUGGESTION-000569,TICKET-005662,2026-07-26T11:32:00Z,ARTICLE-0142,0.8,auto_send,confidence above threshold,1
SUGGESTION-000570,TICKET-005664,2026-07-10T14:14:00Z,ARTICLE-0142,0.7,human_review,area is consequential,0
SUGGESTION-000571,TICKET-005665,2026-07-22T15:13:00Z,ARTICLE-0142,0.56,human_review,area is consequential,0
SUGGESTION-000572,TICKET-005666,2026-07-23T10:59:00Z,ARTICLE-0142,0.61,human_review,area is consequential,0
SUGGESTION-000573,TICKET-005668,2026-07-06T18:11:00Z,ARTICLE-0142,0.84,auto_send,confidence above threshold,1
SUGGESTION-000574,TICKET-005669,2026-07-13T17:33:00Z,ARTICLE-0142,0.73,auto_send,confidence above threshold,1
SUGGESTION-000575,TICKET-005670,2026-07-22T11:47:00Z,ARTICLE-0142,0.7,auto_send,confidence above threshold,1
SUGGESTION-000576,TICKET-005672,2026-07-16T13:46:00Z,ARTICLE-0142,0.94,auto_send,confidence above threshold,1
SUGGESTION-000577,TICKET-005673,2026-07-06T12:38:00Z,ARTICLE-0142,0.83,auto_send,confidence above threshold,1
SUGGESTION-000578,TICKET-005679,2026-07-10T09:00:00Z,ARTICLE-0142,0.81,auto_send,confidence above threshold,1
SUGGESTION-000579,TICKET-005680,2026-07-06T16:38:00Z,ARTICLE-0142,0.74,auto_send,confidence above threshold,1
SUGGESTION-000580,TICKET-005681,2026-07-21T10:50:00Z,ARTICLE-0142,0.82,human_review,area is consequential,0
SUGGESTION-000581,TICKET-005685,2026-07-17T12:03:00Z,ARTICLE-0142,0.85,auto_send,confidence above threshold,1
SUGGESTION-000582,TICKET-005686,2026-07-06T09:31:00Z,ARTICLE-0142,0.79,auto_send,confidence above threshold,1
SUGGESTION-000583,TICKET-005687,2026-07-26T10:01:00Z,ARTICLE-0142,0.63,human_review,area is consequential,0
SUGGESTION-000584,TICKET-005688,2026-07-04T13:57:00Z,ARTICLE-0142,0.75,auto_send,confidence above threshold,1
SUGGESTION-000585,TICKET-005689,2026-07-17T13:25:00Z,ARTICLE-0142,0.55,human_review,area is consequential,0
SUGGESTION-000586,TICKET-005690,2026-07-05T16:40:00Z,ARTICLE-0142,0.76,auto_send,confidence above threshold,1
SUGGESTION-000587,TICKET-005691,2026-07-26T11:06:00Z,ARTICLE-0142,0.8,auto_send,confidence above threshold,1
SUGGESTION-000588,TICKET-005693,2026-07-09T15:48:00Z,ARTICLE-0142,0.94,human_review,area is consequential,0
SUGGESTION-000589,TICKET-005694,2026-07-03T17:43:00Z,ARTICLE-0142,0.92,human_review,area is consequential,0
SUGGESTION-000590,TICKET-005697,2026-07-02T15:54:00Z,ARTICLE-0142,0.68,human_review,area is consequential,0
SUGGESTION-000591,TICKET-005698,2026-07-25T10:23:00Z,ARTICLE-0142,0.64,human_review,area is consequential,0
SUGGESTION-000592,TICKET-005700,2026-07-06T11:35:00Z,ARTICLE-0142,0.74,human_review,area is consequential,0
SUGGESTION-000593,TICKET-005706,2026-07-20T07:46:00Z,ARTICLE-0142,0.8,auto_send,confidence above threshold,1
SUGGESTION-000594,TICKET-005707,2026-07-02T18:09:00Z,ARTICLE-0142,0.56,auto_send,confidence above threshold,1
SUGGESTION-000595,TICKET-005708,2026-07-15T08:33:00Z,ARTICLE-0142,0.62,auto_send,confidence above threshold,1
SUGGESTION-000596,TICKET-005709,2026-07-02T17:53:00Z,ARTICLE-0142,0.72,auto_send,confidence above threshold,1
SUGGESTION-000597,TICKET-005710,2026-07-06T17:05:00Z,ARTICLE-0142,0.82,human_review,area is consequential,0
SUGGESTION-000598,TICKET-005711,2026-07-08T17:53:00Z,ARTICLE-0142,0.76,auto_send,confidence above threshold,1
SUGGESTION-000599,TICKET-005714,2026-07-10T11:17:00Z,ARTICLE-0142,0.75,human_review,area is consequential,0
SUGGESTION-000600,TICKET-005715,2026-07-07T14:37:00Z,ARTICLE-0142,0.56,auto_send,confidence above threshold,1
SUGGESTION-000601,TICKET-005716,2026-07-13T09:05:00Z,ARTICLE-0142,0.85,auto_send,confidence above threshold,1
SUGGESTION-000602,TICKET-005718,2026-07-11T14:46:00Z,ARTICLE-0142,0.9,human_review,area is consequential,0
SUGGESTION-000603,TICKET-005720,2026-07-02T16:52:00Z,ARTICLE-0142,0.75,auto_send,confidence above threshold,1
SUGGESTION-000604,TICKET-005722,2026-07-14T14:32:00Z,ARTICLE-0142,0.81,human_review,area is consequential,0
SUGGESTION-000605,TICKET-005723,2026-07-22T10:20:00Z,ARTICLE-0142,0.72,human_review,area is consequential,0
SUGGESTION-000606,TICKET-005725,2026-07-03T15:10:00Z,ARTICLE-0142,0.72,human_review,area is consequential,0
SUGGESTION-000607,TICKET-005727,2026-07-08T12:44:00Z,ARTICLE-0142,0.8,human_review,area is consequential,0
SUGGESTION-000608,TICKET-005728,2026-07-04T11:13:00Z,ARTICLE-0142,0.89,human_review,area is consequential,0
SUGGESTION-000609,TICKET-005729,2026-07-21T17:06:00Z,ARTICLE-0142,0.83,auto_send,confidence above threshold,1
SUGGESTION-000610,TICKET-005730,2026-07-18T14:03:00Z,ARTICLE-0142,0.97,auto_send,confidence above threshold,1
SUGGESTION-000611,TICKET-005732,2026-07-20T09:47:00Z,ARTICLE-0142,0.63,human_review,area is consequential,0
SUGGESTION-000612,TICKET-005733,2026-07-18T14:30:00Z,ARTICLE-0142,0.59,auto_send,confidence above threshold,1
SUGGESTION-000613,TICKET-005734,2026-07-07T15:08:00Z,ARTICLE-0142,0.92,human_review,area is consequential,0
SUGGESTION-000614,TICKET-005738,2026-07-23T10:51:00Z,ARTICLE-0142,0.58,auto_send,confidence above threshold,1
SUGGESTION-000615,TICKET-005739,2026-07-01T08:42:00Z,ARTICLE-0142,0.75,human_review,area is consequential,0
SUGGESTION-000616,TICKET-005741,2026-07-20T07:47:00Z,ARTICLE-0142,0.6,human_review,area is consequential,0
SUGGESTION-000617,TICKET-005742,2026-07-24T13:39:00Z,ARTICLE-0142,0.59,auto_send,confidence above threshold,1
SUGGESTION-000618,TICKET-005743,2026-07-24T17:05:00Z,ARTICLE-0142,0.6,human_review,area is consequential,0
SUGGESTION-000619,TICKET-005744,2026-07-02T14:11:00Z,ARTICLE-0142,0.95,auto_send,confidence above threshold,1
SUGGESTION-000620,TICKET-005745,2026-07-12T08:53:00Z,ARTICLE-0142,0.92,auto_send,confidence above threshold,1
SUGGESTION-000621,TICKET-005746,2026-07-20T10:20:00Z,ARTICLE-0142,0.64,human_review,area is consequential,0
SUGGESTION-000622,TICKET-005747,2026-07-07T10:48:00Z,ARTICLE-0142,0.64,auto_send,confidence above threshold,1
SUGGESTION-000623,TICKET-005749,2026-07-08T09:24:00Z,ARTICLE-0142,0.55,human_review,area is consequential,0
SUGGESTION-000624,TICKET-005750,2026-07-08T07:28:00Z,ARTICLE-0142,0.84,human_review,area is consequential,0
SUGGESTION-000625,TICKET-005752,2026-07-22T12:25:00Z,ARTICLE-0142,0.61,human_review,area is consequential,0
