proposal_id,ticket_id,created_at,article_ids,confidence,route,route_reason,sent
PRP-000427,TCK-005441,2026-07-09T09:07:00Z,KB-0142,0.79,auto_send,confidence above threshold,1
PRP-000428,TCK-005444,2026-07-01T11:41:00Z,KB-0142,0.97,auto_send,confidence above threshold,1
PRP-000429,TCK-005445,2026-07-07T14:38:00Z,KB-0142,0.87,auto_send,confidence above threshold,1
PRP-000430,TCK-005446,2026-07-13T18:26:00Z,KB-0142,0.74,human_review,area is consequential,0
PRP-000431,TCK-005448,2026-07-03T17:35:00Z,KB-0142,0.96,human_review,area is consequential,0
PRP-000432,TCK-005450,2026-07-20T08:36:00Z,KB-0142,0.56,human_review,area is consequential,0
PRP-000433,TCK-005452,2026-07-25T12:35:00Z,KB-0142,0.81,auto_send,confidence above threshold,1
PRP-000434,TCK-005454,2026-07-12T10:42:00Z,KB-0142,0.77,auto_send,confidence above threshold,1
PRP-000435,TCK-005455,2026-07-18T14:51:00Z,KB-0142,0.96,auto_send,confidence above threshold,1
PRP-000436,TCK-005456,2026-07-24T07:28:00Z,KB-0142,0.64,auto_send,confidence above threshold,1
PRP-000437,TCK-005457,2026-07-17T09:09:00Z,KB-0142,0.57,human_review,area is consequential,0
PRP-000438,TCK-005459,2026-07-27T10:13:00Z,KB-0142,0.89,human_review,area is consequential,0
PRP-000439,TCK-005460,2026-07-18T13:05:00Z,KB-0142,0.75,auto_send,confidence above threshold,1
PRP-000440,TCK-005461,2026-07-21T11:20:00Z,KB-0142,0.6,human_review,area is consequential,0
PRP-000441,TCK-005462,2026-07-17T15:32:00Z,KB-0142,0.78,auto_send,confidence above threshold,1
PRP-000442,TCK-005463,2026-07-26T07:22:00Z,KB-0142,0.97,auto_send,confidence above threshold,1
PRP-000443,TCK-005464,2026-07-01T08:01:00Z,KB-0142,0.8,human_review,area is consequential,0
PRP-000444,TCK-005465,2026-07-27T07:03:00Z,KB-0142,0.87,human_review,area is consequential,0
PRP-000445,TCK-005467,2026-07-15T08:58:00Z,KB-0142,0.61,auto_send,confidence above threshold,1
PRP-000446,TCK-005468,2026-07-16T15:16:00Z,KB-0142,0.65,human_review,area is consequential,0
PRP-000447,TCK-005469,2026-07-01T11:48:00Z,KB-0142,0.62,auto_send,confidence above threshold,1
PRP-000448,TCK-005471,2026-07-01T09:52:00Z,KB-0142,0.81,human_review,area is consequential,0
PRP-000449,TCK-005472,2026-07-23T09:44:00Z,KB-0142,0.57,human_review,area is consequential,0
PRP-000450,TCK-005474,2026-07-16T14:32:00Z,KB-0142,0.73,auto_send,confidence above threshold,1
PRP-000451,TCK-005475,2026-07-25T13:56:00Z,KB-0142,0.91,human_review,area is consequential,0
PRP-000452,TCK-005477,2026-07-09T09:45:00Z,KB-0142,0.72,human_review,area is consequential,0
PRP-000453,TCK-005478,2026-07-24T12:35:00Z,KB-0142,0.74,auto_send,confidence above threshold,1
PRP-000454,TCK-005479,2026-07-12T12:41:00Z,KB-0142,0.91,auto_send,confidence above threshold,1
PRP-000455,TCK-005482,2026-07-20T11:21:00Z,KB-0142,0.76,human_review,area is consequential,0
PRP-000456,TCK-005485,2026-07-16T12:14:00Z,KB-0142,0.76,human_review,area is consequential,0
PRP-000457,TCK-005486,2026-07-17T13:40:00Z,KB-0142,0.69,auto_send,confidence above threshold,1
PRP-000458,TCK-005488,2026-07-07T14:02:00Z,KB-0142,0.58,auto_send,confidence above threshold,1
PRP-000459,TCK-005489,2026-07-25T13:33:00Z,KB-0142,0.84,auto_send,confidence above threshold,1
PRP-000460,TCK-005490,2026-07-16T14:32:00Z,KB-0142,0.97,auto_send,confidence above threshold,1
PRP-000461,TCK-005492,2026-07-24T15:57:00Z,KB-0142,0.95,auto_send,confidence above threshold,1
PRP-000462,TCK-005493,2026-07-15T12:18:00Z,KB-0142,0.89,auto_send,confidence above threshold,1
PRP-000463,TCK-005494,2026-07-06T09:24:00Z,KB-0142,0.68,auto_send,confidence above threshold,1
PRP-000464,TCK-005495,2026-07-03T08:46:00Z,KB-0142,0.58,human_review,area is consequential,0
PRP-000465,TCK-005496,2026-07-02T13:40:00Z,KB-0142,0.65,human_review,area is consequential,0
PRP-000466,TCK-005500,2026-07-20T07:08:00Z,KB-0142,0.61,auto_send,confidence above threshold,1
PRP-000467,TCK-005502,2026-07-22T09:37:00Z,KB-0142,0.81,human_review,area is consequential,0
PRP-000468,TCK-005504,2026-07-25T08:26:00Z,KB-0142,0.64,auto_send,confidence above threshold,1
PRP-000469,TCK-005506,2026-07-17T07:25:00Z,KB-0142,0.6,human_review,area is consequential,0
PRP-000470,TCK-005507,2026-07-26T15:42:00Z,KB-0142,0.56,auto_send,confidence above threshold,1
PRP-000471,TCK-005514,2026-07-08T16:47:00Z,KB-0142,0.85,human_review,area is consequential,0
PRP-000472,TCK-005518,2026-07-23T18:07:00Z,KB-0142,0.72,auto_send,confidence above threshold,1
PRP-000473,TCK-005519,2026-07-27T07:41:00Z,KB-0142,0.86,auto_send,confidence above threshold,1
PRP-000474,TCK-005520,2026-07-17T11:31:00Z,KB-0142,0.64,auto_send,confidence above threshold,1
PRP-000475,TCK-005521,2026-07-13T18:23:00Z,KB-0142,0.61,human_review,area is consequential,0
PRP-000476,TCK-005522,2026-07-15T16:50:00Z,KB-0142,0.78,auto_send,confidence above threshold,1
PRP-000477,TCK-005523,2026-07-14T08:09:00Z,KB-0142,0.75,auto_send,confidence above threshold,1
PRP-000478,TCK-005524,2026-07-17T07:03:00Z,KB-0142,0.89,auto_send,confidence above threshold,1
PRP-000479,TCK-005525,2026-07-01T10:36:00Z,KB-0142,0.79,auto_send,confidence above threshold,1
PRP-000480,TCK-005528,2026-07-06T08:30:00Z,KB-0142,0.61,auto_send,confidence above threshold,1
PRP-000481,TCK-005530,2026-07-21T16:17:00Z,KB-0142,0.85,auto_send,confidence above threshold,1
PRP-000482,TCK-005531,2026-07-27T08:23:00Z,KB-0142,0.95,human_review,area is consequential,0
PRP-000483,TCK-005532,2026-07-23T15:46:00Z,KB-0142,0.74,human_review,area is consequential,0
PRP-000484,TCK-005533,2026-07-17T08:25:00Z,KB-0142,0.8,auto_send,confidence above threshold,1
PRP-000485,TCK-005534,2026-07-15T11:15:00Z,KB-0142,0.91,human_review,area is consequential,0
PRP-000486,TCK-005535,2026-07-02T10:51:00Z,KB-0142,0.9,auto_send,confidence above threshold,1
PRP-000487,TCK-005536,2026-07-23T07:40:00Z,KB-0142,0.68,human_review,area is consequential,0
PRP-000488,TCK-005538,2026-07-24T18:01:00Z,KB-0142,0.76,human_review,area is consequential,0
PRP-000489,TCK-005539,2026-07-01T13:40:00Z,KB-0142,0.69,human_review,area is consequential,0
PRP-000490,TCK-005542,2026-07-24T15:50:00Z,KB-0142,0.89,auto_send,confidence above threshold,1
PRP-000491,TCK-005543,2026-07-10T13:07:00Z,KB-0142,0.86,human_review,area is consequential,0
PRP-000492,TCK-005544,2026-07-05T15:16:00Z,KB-0142,0.61,auto_send,confidence above threshold,1
PRP-000493,TCK-005546,2026-07-18T07:59:00Z,KB-0142,0.76,auto_send,confidence above threshold,1
PRP-000494,TCK-005547,2026-07-20T09:17:00Z,KB-0142,0.7,human_review,area is consequential,0
PRP-000495,TCK-005548,2026-07-26T13:44:00Z,KB-0142,0.56,auto_send,confidence above threshold,1
PRP-000496,TCK-005549,2026-07-06T18:02:00Z,KB-0142,0.72,auto_send,confidence above threshold,1
PRP-000497,TCK-005550,2026-07-27T18:27:00Z,KB-0142,0.55,auto_send,confidence above threshold,1
PRP-000498,TCK-005551,2026-07-10T18:43:00Z,KB-0142,0.63,human_review,area is consequential,0
PRP-000499,TCK-005552,2026-07-04T12:24:00Z,KB-0142,0.61,human_review,area is consequential,0
PRP-000500,TCK-005554,2026-07-20T18:11:00Z,KB-0142,0.85,auto_send,confidence above threshold,1
PRP-000501,TCK-005556,2026-07-13T07:07:00Z,KB-0142,0.75,auto_send,confidence above threshold,1
PRP-000502,TCK-005557,2026-07-14T07:25:00Z,KB-0142,0.93,human_review,area is consequential,0
PRP-000503,TCK-005558,2026-07-11T16:57:00Z,KB-0142,0.8,auto_send,confidence above threshold,1
PRP-000504,TCK-005560,2026-07-25T13:15:00Z,KB-0142,0.88,human_review,area is consequential,0
PRP-000505,TCK-005563,2026-07-18T10:18:00Z,KB-0142,0.92,auto_send,confidence above threshold,1
PRP-000506,TCK-005564,2026-07-25T13:00:00Z,KB-0142,0.84,human_review,area is consequential,0
PRP-000507,TCK-005565,2026-07-18T17:45:00Z,KB-0142,0.59,auto_send,confidence above threshold,1
PRP-000508,TCK-005567,2026-07-05T08:02:00Z,KB-0142,0.9,auto_send,confidence above threshold,1
PRP-000509,TCK-005568,2026-07-11T08:19:00Z,KB-0142,0.62,human_review,area is consequential,0
PRP-000510,TCK-005569,2026-07-06T15:35:00Z,KB-0142,0.93,auto_send,confidence above threshold,1
PRP-000511,TCK-005571,2026-07-02T13:48:00Z,KB-0142,0.57,auto_send,confidence above threshold,1
PRP-000512,TCK-005572,2026-07-08T12:01:00Z,KB-0142,0.66,auto_send,confidence above threshold,1
PRP-000513,TCK-005573,2026-07-16T16:53:00Z,KB-0142,0.86,human_review,area is consequential,0
PRP-000514,TCK-005574,2026-07-13T07:20:00Z,KB-0142,0.78,human_review,area is consequential,0
PRP-000515,TCK-005575,2026-07-14T07:55:00Z,KB-0142,0.83,auto_send,confidence above threshold,1
PRP-000516,TCK-005576,2026-07-01T10:34:00Z,KB-0142,0.89,auto_send,confidence above threshold,1
PRP-000517,TCK-005577,2026-07-02T16:33:00Z,KB-0142,0.82,human_review,area is consequential,0
PRP-000518,TCK-005578,2026-07-19T13:49:00Z,KB-0142,0.84,auto_send,confidence above threshold,1
PRP-000519,TCK-005581,2026-07-09T16:22:00Z,KB-0142,0.94,auto_send,confidence above threshold,1
PRP-000520,TCK-005582,2026-07-08T07:18:00Z,KB-0142,0.7,auto_send,confidence above threshold,1
PRP-000521,TCK-005583,2026-07-10T10:02:00Z,KB-0142,0.74,auto_send,confidence above threshold,1
PRP-000522,TCK-005585,2026-07-27T15:20:00Z,KB-0142,0.58,human_review,area is consequential,0
PRP-000523,TCK-005586,2026-07-16T12:04:00Z,KB-0142,0.61,human_review,area is consequential,0
PRP-000524,TCK-005587,2026-07-09T15:03:00Z,KB-0142,0.94,auto_send,confidence above threshold,1
PRP-000525,TCK-005589,2026-07-20T14:31:00Z,KB-0142,0.97,auto_send,confidence above threshold,1
PRP-000526,TCK-005591,2026-07-01T13:47:00Z,KB-0142,0.79,human_review,area is consequential,0
PRP-000527,TCK-005592,2026-07-23T10:51:00Z,KB-0142,0.58,auto_send,confidence above threshold,1
PRP-000528,TCK-005596,2026-07-21T10:03:00Z,KB-0142,0.57,auto_send,confidence above threshold,1
PRP-000529,TCK-005597,2026-07-18T12:38:00Z,KB-0142,0.57,auto_send,confidence above threshold,1
PRP-000530,TCK-005598,2026-07-03T14:09:00Z,KB-0142,0.56,human_review,area is consequential,0
PRP-000531,TCK-005599,2026-07-09T18:36:00Z,KB-0142,0.91,human_review,area is consequential,0
PRP-000532,TCK-005604,2026-07-01T14:54:00Z,KB-0142,0.72,auto_send,confidence above threshold,1
PRP-000533,TCK-005605,2026-07-03T07:21:00Z,KB-0142,0.61,auto_send,confidence above threshold,1
PRP-000534,TCK-005606,2026-07-16T08:33:00Z,KB-0142,0.97,auto_send,confidence above threshold,1
PRP-000535,TCK-005609,2026-07-15T09:58:00Z,KB-0142,0.61,auto_send,confidence above threshold,1
PRP-000536,TCK-005612,2026-07-24T12:23:00Z,KB-0142,0.84,auto_send,confidence above threshold,1
PRP-000537,TCK-005613,2026-07-04T09:13:00Z,KB-0142,0.94,auto_send,confidence above threshold,1
PRP-000538,TCK-005614,2026-07-14T13:31:00Z,KB-0142,0.92,auto_send,confidence above threshold,1
PRP-000539,TCK-005615,2026-07-01T13:25:00Z,KB-0142,0.97,auto_send,confidence above threshold,1
PRP-000540,TCK-005617,2026-07-09T16:55:00Z,KB-0142,0.55,auto_send,confidence above threshold,1
PRP-000541,TCK-005618,2026-07-24T14:24:00Z,KB-0142,0.72,auto_send,confidence above threshold,1
PRP-000542,TCK-005620,2026-07-08T13:58:00Z,KB-0142,0.71,auto_send,confidence above threshold,1
PRP-000543,TCK-005621,2026-07-22T11:53:00Z,KB-0142,0.83,auto_send,confidence above threshold,1
PRP-000544,TCK-005623,2026-07-05T17:08:00Z,KB-0142,0.61,auto_send,confidence above threshold,1
PRP-000545,TCK-005624,2026-07-12T09:30:00Z,KB-0142,0.58,human_review,area is consequential,0
PRP-000546,TCK-005626,2026-07-17T13:32:00Z,KB-0142,0.9,human_review,area is consequential,0
PRP-000547,TCK-005628,2026-07-17T14:27:00Z,KB-0142,0.65,human_review,area is consequential,0
PRP-000548,TCK-005630,2026-07-04T17:40:00Z,KB-0142,0.86,auto_send,confidence above threshold,1
PRP-000549,TCK-005631,2026-07-19T08:06:00Z,KB-0142,0.8,auto_send,confidence above threshold,1
PRP-000550,TCK-005632,2026-07-19T07:35:00Z,KB-0142,0.67,human_review,area is consequential,0
PRP-000551,TCK-005633,2026-07-06T07:45:00Z,KB-0142,0.65,auto_send,confidence above threshold,1
PRP-000552,TCK-005634,2026-07-16T15:14:00Z,KB-0142,0.8,auto_send,confidence above threshold,1
PRP-000553,TCK-005635,2026-07-14T15:51:00Z,KB-0142,0.9,human_review,area is consequential,0
PRP-000554,TCK-005636,2026-07-16T09:58:00Z,KB-0142,0.81,human_review,area is consequential,0
PRP-000555,TCK-005638,2026-07-17T16:41:00Z,KB-0142,0.56,auto_send,confidence above threshold,1
PRP-000556,TCK-005639,2026-07-14T17:51:00Z,KB-0142,0.63,auto_send,confidence above threshold,1
PRP-000557,TCK-005647,2026-07-02T10:45:00Z,KB-0142,0.84,human_review,area is consequential,0
PRP-000558,TCK-005648,2026-07-17T14:50:00Z,KB-0142,0.82,human_review,area is consequential,0
PRP-000559,TCK-005650,2026-07-26T07:42:00Z,KB-0142,0.8,human_review,area is consequential,0
PRP-000560,TCK-005651,2026-07-27T15:45:00Z,KB-0142,0.92,human_review,area is consequential,0
PRP-000561,TCK-005653,2026-07-03T17:34:00Z,KB-0142,0.77,auto_send,confidence above threshold,1
PRP-000562,TCK-005654,2026-07-13T14:02:00Z,KB-0142,0.86,human_review,area is consequential,0
PRP-000563,TCK-005655,2026-07-19T11:04:00Z,KB-0142,0.67,auto_send,confidence above threshold,1
PRP-000564,TCK-005656,2026-07-16T11:28:00Z,KB-0142,0.9,auto_send,confidence above threshold,1
PRP-000565,TCK-005657,2026-07-15T10:06:00Z,KB-0142,0.68,human_review,area is consequential,0
PRP-000566,TCK-005658,2026-07-12T07:52:00Z,KB-0142,0.67,human_review,area is consequential,0
PRP-000567,TCK-005660,2026-07-15T11:25:00Z,KB-0142,0.82,human_review,area is consequential,0
PRP-000568,TCK-005661,2026-07-02T10:10:00Z,KB-0142,0.64,auto_send,confidence above threshold,1
PRP-000569,TCK-005662,2026-07-26T11:32:00Z,KB-0142,0.8,auto_send,confidence above threshold,1
PRP-000570,TCK-005664,2026-07-10T14:14:00Z,KB-0142,0.7,human_review,area is consequential,0
PRP-000571,TCK-005665,2026-07-22T15:13:00Z,KB-0142,0.56,human_review,area is consequential,0
PRP-000572,TCK-005666,2026-07-23T10:59:00Z,KB-0142,0.61,human_review,area is consequential,0
PRP-000573,TCK-005668,2026-07-06T18:11:00Z,KB-0142,0.84,auto_send,confidence above threshold,1
PRP-000574,TCK-005669,2026-07-13T17:33:00Z,KB-0142,0.73,auto_send,confidence above threshold,1
PRP-000575,TCK-005670,2026-07-22T11:47:00Z,KB-0142,0.7,auto_send,confidence above threshold,1
PRP-000576,TCK-005672,2026-07-16T13:46:00Z,KB-0142,0.94,auto_send,confidence above threshold,1
PRP-000577,TCK-005673,2026-07-06T12:38:00Z,KB-0142,0.83,auto_send,confidence above threshold,1
PRP-000578,TCK-005679,2026-07-10T09:00:00Z,KB-0142,0.81,auto_send,confidence above threshold,1
PRP-000579,TCK-005680,2026-07-06T16:38:00Z,KB-0142,0.74,auto_send,confidence above threshold,1
PRP-000580,TCK-005681,2026-07-21T10:50:00Z,KB-0142,0.82,human_review,area is consequential,0
PRP-000581,TCK-005685,2026-07-17T12:03:00Z,KB-0142,0.85,auto_send,confidence above threshold,1
PRP-000582,TCK-005686,2026-07-06T09:31:00Z,KB-0142,0.79,auto_send,confidence above threshold,1
PRP-000583,TCK-005687,2026-07-26T10:01:00Z,KB-0142,0.63,human_review,area is consequential,0
PRP-000584,TCK-005688,2026-07-04T13:57:00Z,KB-0142,0.75,auto_send,confidence above threshold,1
PRP-000585,TCK-005689,2026-07-17T13:25:00Z,KB-0142,0.55,human_review,area is consequential,0
PRP-000586,TCK-005690,2026-07-05T16:40:00Z,KB-0142,0.76,auto_send,confidence above threshold,1
PRP-000587,TCK-005691,2026-07-26T11:06:00Z,KB-0142,0.8,auto_send,confidence above threshold,1
PRP-000588,TCK-005693,2026-07-09T15:48:00Z,KB-0142,0.94,human_review,area is consequential,0
PRP-000589,TCK-005694,2026-07-03T17:43:00Z,KB-0142,0.92,human_review,area is consequential,0
PRP-000590,TCK-005697,2026-07-02T15:54:00Z,KB-0142,0.68,human_review,area is consequential,0
PRP-000591,TCK-005698,2026-07-25T10:23:00Z,KB-0142,0.64,human_review,area is consequential,0
PRP-000592,TCK-005700,2026-07-06T11:35:00Z,KB-0142,0.74,human_review,area is consequential,0
PRP-000593,TCK-005706,2026-07-20T07:46:00Z,KB-0142,0.8,auto_send,confidence above threshold,1
PRP-000594,TCK-005707,2026-07-02T18:09:00Z,KB-0142,0.56,auto_send,confidence above threshold,1
PRP-000595,TCK-005708,2026-07-15T08:33:00Z,KB-0142,0.62,auto_send,confidence above threshold,1
PRP-000596,TCK-005709,2026-07-02T17:53:00Z,KB-0142,0.72,auto_send,confidence above threshold,1
PRP-000597,TCK-005710,2026-07-06T17:05:00Z,KB-0142,0.82,human_review,area is consequential,0
PRP-000598,TCK-005711,2026-07-08T17:53:00Z,KB-0142,0.76,auto_send,confidence above threshold,1
PRP-000599,TCK-005714,2026-07-10T11:17:00Z,KB-0142,0.75,human_review,area is consequential,0
PRP-000600,TCK-005715,2026-07-07T14:37:00Z,KB-0142,0.56,auto_send,confidence above threshold,1
PRP-000601,TCK-005716,2026-07-13T09:05:00Z,KB-0142,0.85,auto_send,confidence above threshold,1
PRP-000602,TCK-005718,2026-07-11T14:46:00Z,KB-0142,0.9,human_review,area is consequential,0
PRP-000603,TCK-005720,2026-07-02T16:52:00Z,KB-0142,0.75,auto_send,confidence above threshold,1
PRP-000604,TCK-005722,2026-07-14T14:32:00Z,KB-0142,0.81,human_review,area is consequential,0
PRP-000605,TCK-005723,2026-07-22T10:20:00Z,KB-0142,0.72,human_review,area is consequential,0
PRP-000606,TCK-005725,2026-07-03T15:10:00Z,KB-0142,0.72,human_review,area is consequential,0
PRP-000607,TCK-005727,2026-07-08T12:44:00Z,KB-0142,0.8,human_review,area is consequential,0
PRP-000608,TCK-005728,2026-07-04T11:13:00Z,KB-0142,0.89,human_review,area is consequential,0
PRP-000609,TCK-005729,2026-07-21T17:06:00Z,KB-0142,0.83,auto_send,confidence above threshold,1
PRP-000610,TCK-005730,2026-07-18T14:03:00Z,KB-0142,0.97,auto_send,confidence above threshold,1
PRP-000611,TCK-005732,2026-07-20T09:47:00Z,KB-0142,0.63,human_review,area is consequential,0
PRP-000612,TCK-005733,2026-07-18T14:30:00Z,KB-0142,0.59,auto_send,confidence above threshold,1
PRP-000613,TCK-005734,2026-07-07T15:08:00Z,KB-0142,0.92,human_review,area is consequential,0
PRP-000614,TCK-005738,2026-07-23T10:51:00Z,KB-0142,0.58,auto_send,confidence above threshold,1
PRP-000615,TCK-005739,2026-07-01T08:42:00Z,KB-0142,0.75,human_review,area is consequential,0
PRP-000616,TCK-005741,2026-07-20T07:47:00Z,KB-0142,0.6,human_review,area is consequential,0
PRP-000617,TCK-005742,2026-07-24T13:39:00Z,KB-0142,0.59,auto_send,confidence above threshold,1
PRP-000618,TCK-005743,2026-07-24T17:05:00Z,KB-0142,0.6,human_review,area is consequential,0
PRP-000619,TCK-005744,2026-07-02T14:11:00Z,KB-0142,0.95,auto_send,confidence above threshold,1
PRP-000620,TCK-005745,2026-07-12T08:53:00Z,KB-0142,0.92,auto_send,confidence above threshold,1
PRP-000621,TCK-005746,2026-07-20T10:20:00Z,KB-0142,0.64,human_review,area is consequential,0
PRP-000622,TCK-005747,2026-07-07T10:48:00Z,KB-0142,0.64,auto_send,confidence above threshold,1
PRP-000623,TCK-005749,2026-07-08T09:24:00Z,KB-0142,0.55,human_review,area is consequential,0
PRP-000624,TCK-005750,2026-07-08T07:28:00Z,KB-0142,0.84,human_review,area is consequential,0
PRP-000625,TCK-005752,2026-07-22T12:25:00Z,KB-0142,0.61,human_review,area is consequential,0
PRP-000626,TCK-005753,2026-07-06T11:17:00Z,KB-0142,0.71,auto_send,confidence above threshold,1
PRP-000627,TCK-005754,2026-07-08T10:49:00Z,KB-0142,0.64,auto_send,confidence above threshold,1
PRP-000628,TCK-005755,2026-07-12T16:54:00Z,KB-0142,0.9,auto_send,confidence above threshold,1
PRP-000629,TCK-005756,2026-07-26T07:22:00Z,KB-0142,0.79,human_review,area is consequential,0
PRP-000630,TCK-005757,2026-07-19T11:56:00Z,KB-0142,0.67,auto_send,confidence above threshold,1
PRP-000631,TCK-005758,2026-07-14T13:33:00Z,KB-0142,0.83,human_review,area is consequential,0
PRP-000632,TCK-005759,2026-07-19T09:28:00Z,KB-0142,0.65,auto_send,confidence above threshold,1
PRP-000633,TCK-005761,2026-07-06T10:22:00Z,KB-0142,0.59,auto_send,confidence above threshold,1
PRP-000634,TCK-005762,2026-07-23T07:02:00Z,KB-0142,0.95,auto_send,confidence above threshold,1
PRP-000635,TCK-005763,2026-07-15T10:25:00Z,KB-0142,0.57,human_review,area is consequential,0
PRP-000636,TCK-005764,2026-07-12T15:51:00Z,KB-0142,0.65,auto_send,confidence above threshold,1
PRP-000637,TCK-005765,2026-07-17T15:07:00Z,KB-0142,0.79,auto_send,confidence above threshold,1
PRP-000638,TCK-005766,2026-07-24T12:02:00Z,KB-0142,0.57,human_review,area is consequential,0
PRP-000639,TCK-005769,2026-07-16T12:52:00Z,KB-0142,0.66,human_review,area is consequential,0
PRP-000640,TCK-005770,2026-07-26T07:43:00Z,KB-0142,0.62,human_review,area is consequential,0
PRP-000641,TCK-005771,2026-07-24T13:59:00Z,KB-0142,0.82,human_review,area is consequential,0
PRP-000642,TCK-005772,2026-07-23T13:26:00Z,KB-0142,0.64,human_review,area is consequential,0
PRP-000643,TCK-005773,2026-07-26T11:22:00Z,KB-0142,0.71,auto_send,confidence above threshold,1
PRP-000644,TCK-005774,2026-07-06T12:30:00Z,KB-0142,0.86,auto_send,confidence above threshold,1
PRP-000645,TCK-005775,2026-07-14T18:22:00Z,KB-0142,0.72,auto_send,confidence above threshold,1
PRP-000646,TCK-005776,2026-07-19T16:13:00Z,KB-0142,0.66,human_review,area is consequential,0
PRP-000647,TCK-005777,2026-07-18T15:16:00Z,KB-0142,0.56,human_review,area is consequential,0
PRP-000648,TCK-005779,2026-07-16T07:20:00Z,KB-0142,0.72,auto_send,confidence above threshold,1
PRP-000649,TCK-005781,2026-07-21T13:05:00Z,KB-0142,0.57,human_review,area is consequential,0
PRP-000650,TCK-005782,2026-07-04T08:24:00Z,KB-0142,0.61,human_review,area is consequential,0
PRP-000651,TCK-005783,2026-07-07T11:28:00Z,KB-0142,0.56,auto_send,confidence above threshold,1
PRP-000652,TCK-005786,2026-07-05T16:10:00Z,KB-0142,0.75,auto_send,confidence above threshold,1
PRP-000653,TCK-005787,2026-07-23T16:48:00Z,KB-0142,0.89,human_review,area is consequential,0
PRP-000654,TCK-005788,2026-07-12T18:25:00Z,KB-0142,0.89,human_review,area is consequential,0
PRP-000655,TCK-005789,2026-07-01T09:21:00Z,KB-0142,0.88,human_review,area is consequential,0
PRP-000656,TCK-005790,2026-07-27T14:10:00Z,KB-0142,0.87,auto_send,confidence above threshold,1
PRP-000657,TCK-005791,2026-07-09T10:17:00Z,KB-0142,0.66,auto_send,confidence above threshold,1
PRP-000658,TCK-005792,2026-07-12T12:06:00Z,KB-0142,0.71,human_review,area is consequential,0
PRP-000659,TCK-005793,2026-07-13T18:21:00Z,KB-0142,0.92,human_review,area is consequential,0
PRP-000660,TCK-005817,2026-08-17T13:38:00Z,KB-0142,0.62,auto_send,confidence above threshold,1
PRP-000661,TCK-005819,2026-08-13T18:44:00Z,KB-0142,0.83,human_review,area is consequential,0
PRP-000662,TCK-005820,2026-08-21T11:19:00Z,KB-0142,0.76,human_review,area is consequential,0
PRP-000663,TCK-005821,2026-08-14T11:22:00Z,KB-0142,0.94,auto_send,confidence above threshold,1
PRP-000664,TCK-005823,2026-08-07T16:57:00Z,KB-0142,0.8,human_review,area is consequential,0
